date,y,g,tauK,tauL,tauP,tauC,rdebt,rdebt_pub,newsy
1954,26797.6533552902,6344.65486482778,0.392173952152853,0.125579465475333,0.0981940208674483,0.0871900976441976,18581.0347193633,15404.1443666804,-0.00332159663822346
1955,28787.4154262517,6289.4451962111,0.403410155453719,0.126576922208356,0.0976147813600717,0.088587215354724,18565.6292286874,15331.5290933694,0.00310694250278182
1956,29396.3757686772,6422.87060054952,0.408829141610034,0.13210448526929,0.102962040961989,0.0917437103372741,17839.853460683,14536.1768938898,0.0030028951051223
1957,29964.5385587863,6773.89380530973,0.404739106260436,0.13681985540361,0.105178178532687,0.0915288098242778,17212.389380531,13862.1997471555,0.00710520153532396
1958,29727.5142080554,7050.77835433655,0.392212274592539,0.134885333443889,0.103837484346737,0.0881870053377508,17278.2307882382,13979.4909809736,0.000365213601796568
1959,31804.2921594927,7222.16802828923,0.403255373200872,0.140093296462616,0.104188535292762,0.0902059197634845,17528.350201195,14309.2305816364,0.000737470465523207
1960,32622.5189462288,7248.88728497534,0.40449624329163,0.150519050327174,0.109603048947664,0.0934688365673835,17472.6332250692,14242.7523156502,0.00135511414632057
1961,33458.8466345295,7691.30512408498,0.400426284392923,0.149568014073261,0.108592079132295,0.0941660498514837,17413.5571028983,14187.9426292924,0.0183447807162335
1962,35508.1138287865,8248.29492003763,0.391393294952441,0.153562056555923,0.110346496300621,0.0948984245001253,17809.2662276576,14581.3734713076,0.000847038721136525
1963,37054.5835028774,8556.24019066442,0.394868555089828,0.157618976874964,0.110598011886604,0.0949887358338063,18037.551589839,14764.8665930361,-0.00286348437195725
1964,39190.380761523,8861.32264529058,0.376915892279939,0.14412828793584,0.0979598153764174,0.094872683642181,18099.0552533639,14703.6931004867,-0.00176879108242238
1965,41736.8006747259,9224.2339049761,0.375938049401149,0.144163211789614,0.0999392997314418,0.0925438585673731,18122.0129322463,14664.0427326399,0.00642719849979004
1966,44490.1821364109,10142.9743477547,0.380373607455986,0.159999180013575,0.105628376984945,0.0876523820207913,17967.5108023847,14423.2346989006,0.0116907553710431
1967,45710.8914048796,11003.9866050072,0.383050918393352,0.166985260172017,0.110563592336549,0.0879792661559075,18093.8712592356,14171.0519321746,0.0125252467613407
1968,47958.142143367,11498.2155603141,0.414315846561679,0.177185926380036,0.121330436698008,0.0911371024471873,18797.7974915876,14759.8654022637,-0.00556694712189578
1969,49454.0020411139,11614.1322836176,0.427497409659066,0.19261902367223,0.135864260264233,0.092468319379744,17777.1298051222,13515.0896632162,0
1970,49547.733357954,11660.0960206814,0.411575511405397,0.185005414147215,0.128588499014536,0.0924668699375829,17583.7872772597,13073.5850798634,-0.00207159156579297
1971,51177.4526602522,11751.1532885198,0.399004186847053,0.177110018589508,0.117642902903263,0.0938412755962362,17934.185668468,13312.2446289706,0
1972,53868.603916614,12052.6005474837,0.40363689787873,0.191157760573286,0.130127921407309,0.0919764248306921,18357.5489576753,13577.5952832175,0
1973,56912.5973248153,12168.6963465762,0.396010617889644,0.19692727942604,0.124284814407343,0.0910030691785132,18618.486723897,13611.4993012577,0
1974,56618.8993111535,12508.0609702477,0.405352822166334,0.207512928233133,0.132914886184909,0.0888767663382262,17730.4704675363,12593.4339733255,0
1975,56489.2211754451,12777.9528615013,0.38020919226103,0.194897290199351,0.121559405205092,0.0863426445676385,18168.1027257183,13232.9768330707,0
1976,59531.9838571292,12842.8930058152,0.396838785463391,0.202357384947993,0.127865151078874,0.0831891649559944,19987.9246242334,15170.485239442,0.000579625856563752
1977,62285.3638104356,12994.5847295357,0.396811669342618,0.205491228864614,0.131807205535277,0.0819219523214645,21134.5141215893,16428.3149832456,-0.000663558249825112
1978,65733.0258560447,13314.7728860936,0.39006743870332,0.210755858578428,0.135332962673867,0.08147656987823,21707.8965758211,16969.9510831586,0
1979,67817.8931880953,13546.4236855011,0.38412820879503,0.220976873895424,0.143393135202512,0.0787210098236265,21411.4245889368,16527.7096615988,0.00120015414232141
1980,67626.9674090554,13954.6519609003,0.376103094444201,0.225065203837247,0.148858614396207,0.0812172708986063,21514.2836855932,16849.3053418854,0.016470738123833
1981,69356.4230103806,14151.8382352941,0.350912880649757,0.235862267285202,0.154326674064169,0.0893123583759485,21513.8408304498,17071.7993079585,0.00643545200231659
1982,68102.9959876983,14490.580256217,0.32381313030223,0.234650026119504,0.151924928362252,0.0812440652466587,23163.4045499908,18831.3407605043,0
1983,71230.5068799247,15025.2263906856,0.323514120900988,0.226109042880055,0.140565359048458,0.0812263855433677,26886.589047003,22292.1321886393,0
1984,76383.14415437,15662.3155505108,0.314842557561862,0.223355051565799,0.133540134637772,0.0825590602653819,29598.9405978055,24725.690503216,0
1985,79566.115929804,16696.6057249739,0.319746698946699,0.229207392150762,0.138855045290381,0.079867430303783,33326.6095758532,27640.1444996608,0
1986,82311.2081670801,17543.3336927999,0.340710662206014,0.231237459484656,0.140136079810616,0.077346072115512,38112.4411373522,31284.3739890003,-0.00507928520258911
1987,85173.2334573012,18095.7476668304,0.362078579679772,0.235589592744864,0.146062337529262,0.0774469065788349,41155.0066661989,33152.0595045962,0
1988,88726.1174556915,18280.1009861398,0.351235856956652,0.232287793092969,0.13810833556557,0.0769613886477683,44072.9946795893,34762.2759158223,-0.0153180453447737
1989,91985.7820677961,18781.0731930019,0.356065288315959,0.238899597540776,0.146665448338897,0.0748264445028088,46759.3875853973,35719.2936687809,-0.0241935645093363
1990,93707.0840404802,19463.1340750519,0.355750212423915,0.238617316961303,0.146388952711604,0.074306656509296,50385.0022000126,37896.7879816456,0.00498322010184641
1991,93621.3114006416,19747.799382763,0.355460965586421,0.236249926559212,0.141995369249417,0.0767304977106723,54703.0116910166,40880.5509524606,-0.00465733790756414
1992,96916.1835964208,19984.2444781355,0.361445018353136,0.232769055957002,0.140047832431888,0.0766113291519423,59481.5541484586,44586.6405065549,0
1993,99581.2498185092,19817.6670441676,0.368188258033717,0.23470505668637,0.141654795304192,0.0763682643330119,63173.3310102506,47164.3871417371,0
1994,103597.224986495,19935.0885672855,0.364629009095494,0.236568115991314,0.141730624284099,0.0790565031178816,66010.3494356146,48805.8343521651,0
1995,106375.04003119,20181.7207145741,0.365144370037734,0.239241817509051,0.143883712766413,0.077122761551593,68513.9030061683,50187.2763474847,0
1996,110391.101022808,20413.0613137888,0.366403875530376,0.243765819082369,0.150477658980548,0.0755513573806451,70851.3373078816,51059.727615818,0
1997,115291.227032621,20795.0778908319,0.366040375659663,0.247859169857451,0.155736617516655,0.0753756819921444,72167.6366617831,50703.6384897646,0
1998,120485.741634427,21425.5573724724,0.367194319675201,0.251893952332981,0.162219392259679,0.0746904886682263,72830.0030577381,49470.2136428296,0
1999,126274.01929935,22549.6250262219,0.370579413212988,0.253250601570385,0.164755898874372,0.0736008736755024,73493.5494021397,47624.2920075519,0.000416293829437066
2000,131395.508613618,23411.0695242002,0.377012513658101,0.257414091983575,0.171624923722648,0.0718938708996828,72148.0209187859,43706.4191960623,0
2001,132582.366502117,24432.2299345979,0.345470228792806,0.253379572678433,0.167311792842461,0.0694984933012344,72291.8285012655,41591.7007041371,0.00245678703041736
2002,134905.607741967,25792.0950958488,0.314535895807411,0.229443457389001,0.138509041070288,0.0684513684254602,76511.1772184711,43701.6281337563,0.0093782870318787
2003,138639.196466388,26751.3765353664,0.318925734106368,0.218975612387451,0.126425679302686,0.0688605461127964,81805.5303442851,47357.65716706,0.00561839493389118
2004,143999.387096014,27558.5559039155,0.32954342973868,0.217015650134837,0.123521820956453,0.0704773348209816,86687.018222107,50629.4052474011,0.000552690233222048
2005,149036.427020231,28292.524859984,0.358540717712195,0.225834009403064,0.134011278296566,0.0722923050002391,90356.6121842496,52488.2843753572,0.00209977098579981
2006,153145.734492085,29085.3323282934,0.367118015469704,0.230938241030381,0.140007124332015,0.0718489056143027,93683.7671263247,53529.4639294107,0.00452436816614803
2007,156219.744638598,30118.3555848165,0.374085576728368,0.239046079131849,0.150298114845713,0.0694732282045016,96604.5352012347,54343.6262182552,0.0139326161227687
2008,156465.37495895,31600.9513014185,0.343350520791511,0.241206988671243,0.151971082490421,0.0673390882790462,105788.319544053,61475.4706187697,-0.00437610672326127
2009,152370.231216915,32376.0300571465,0.302365136545053,0.214878187227658,0.118898541832262,0.0631144601123753,124984.476788853,79402.0143339753,0
2010,156492.762364294,32814.2548146916,0.299306026082674,0.214283083301962,0.119581447727786,0.0648091434311944,140684.663699513,93786.6561291128,-0.00164294274941621
2011,158926.322116609,32070.346485732,0.30507276010242,0.21408168515151,0.134172774598937,0.0662205668016194,150414.132461261,103183.675132696,-0.00713136730709132
2012,162539.7,31364.7,0.302639480467756,0.211062750302795,0.130921518148568,0.0668064243063572,160509,112811,0
2013,165504.190863622,30785.8778213405,0.319282473172742,0.232991066385524,0.142339370123682,0.068839047166222,164287.749707671,117744.106751565,-0.00738391728347938
2014,169306.853041616,30568.7812313094,0.325656108737013,0.234820331514789,0.144291525846702,0.0691075695348886,171658.852810094,123284.327911867,0
2015,173950.650665953,30876.392578013,0.331619888364844,0.241421428361848,0.152060314577907,0.0683649493371786,173129.69368061,125324.377520017,0
